id,zip_code,city,state_code,state_name,Housing Affordability,Housing Affordability,Housing Affordability,Housing Affordability,Quality of Life,Quality of Life,Quality of Life,Quality of Life,Quality of Life,Quality of Life,Quality of Life,Job Market Strength,Job Market Strength,Job Market Strength,Job Market Strength,Living Affordability,Living Affordability,Living Affordability,Living Affordability,Living Affordability
8751,67744,Ludell,KS,Kansas,$310.2 K,1.47%,-1.2%,$130.52,56,46,57,87,62,15,14,1.4%,-2.51%,38,$61.83 K,5.7%,38,29,7.5%,29
8752,67849,Hanston,KS,Kansas,$91.3 K,1.83%,3.8%,$38.42,73,47,64,89,65,20,11,1.6%,-5.89%,39,$76.25 K,5.7%,39,25,7.5%,31
8753,68003,Ashland,NE,Nebraska,$705.8 K,0.69%,1.8%,$235.52,62,100,84,58,52,57,41,4.5%,-0.76%,65,$75.11 K,9.3%,33,66,10.75%,79
8754,68036,Linwood,NE,Nebraska,$415.8 K,2.89%,9.7%,$187.9,84,58,66,83,59,21,10,5.7%,1.67%,49,$133.49 K,5.5%,45,52,6.62%,44
8755,68047,Pender,NE,Nebraska,$341.4 K,1.06%,1.9%,$167.03,79,54,73,72,60,21,12,2%,0.86%,94,$73.95 K,5.8%,34,38,7%,43
8756,68133,Papillion,NE,Nebraska,$354.4 K,1.82%,3.6%,$180.93,89,65,59,78,58,50,36,2%,0.39%,78,$104.61 K,6.6%,36,44,7.5%,44
8757,68310,Beatrice,NE,Nebraska,$156.2 K,1.49%,2.7%,$116.02,51,51,57,79,63,42,35,2.1%,0.85%,38,$49.54 K,6.6%,31,35,7.5%,28
8758,68326,Carleton,NE,Nebraska,$281.3 K,1.35%,4.2%,$189.64,60,53,59,83,50,27,17,3.7%,2.37%,62,$54.03 K,4.2%,38,36,6%,74
8759,68359,Friend,NE,Nebraska,$425.4 K,1.66%,1.6%,$138.24,87,57,70,70,58,88,69,3.2%,1.81%,74,$121.3 K,0%,31,46,8.25%,58
8760,68517,Lincoln,NE,Nebraska,$268.6 K,1.62%,4.2%,$184.82,88,86,57,81,61,48,40,2%,0.52%,72,$67.85 K,6.6%,30,39,7.25%,40
8761,68520,Lincoln,NE,Nebraska,$268.6 K,1.62%,4.2%,$184.82,88,86,57,81,61,48,40,2%,0.52%,72,$67.85 K,6.6%,30,39,7.25%,40
8762,68524,Lincoln,NE,Nebraska,$268.6 K,1.62%,4.2%,$184.82,88,86,57,81,61,48,40,2%,0.52%,72,$67.85 K,6.6%,30,39,7.25%,40
8763,68653,Platte Center,NE,Nebraska,$220.9 K,1.38%,5.8%,$143.97,34,79,59,88,59,21,11,2.5%,0.44%,45,$71.51 K,6.6%,33,32,7%,25
8764,68726,Clearwater,NE,Nebraska,$362.9 K,0.75%,2.7%,$213.87,75,100,73,76,60,57,48,2.9%,2.78%,63,$59.36 K,0%,39,55,7%,57
8765,68779,Stanton,NE,Nebraska,$744.1 K,0.71%,6.9%,$551.79,61,92,90,57,41,63,48,3.8%,-0.79%,78,$76.12 K,9.3%,34,50,8.75%,71
8766,68801,Grand Island,NE,Nebraska,$236.6 K,1.46%,2.4%,$168.18,49,58,59,85,64,53,45,2.1%,1.06%,56,$59.06 K,6.6%,33,35,7.5%,28
8767,68822,Broken Bow,NE,Nebraska,$284.4 K,0.44%,-2.8%,$152.26,61,20,64,70,69,36,35,4.1%,4.66%,35,$44.11 K,4.8%,36,24,10.25%,40
8768,68842,Greeley,NE,Nebraska,$409.7 K,0.47%,-1.4%,$272.42,70,70,60,59,55,77,67,3.4%,0.7%,80,$65.53 K,4.4%,37,41,7.4%,48
8769,68861,Odessa,NE,Nebraska,$206.9 K,1.34%,2.5%,$116.87,50,58,81,79,58,56,47,2.8%,1.79%,80,$71.29 K,0%,34,32,8.25%,43
8770,68940,Funk,NE,Nebraska,$248.1 K,0.88%,6.5%,$135.75,62,51,67,75,59,39,32,2%,0.23%,70,$52.79 K,4.8%,28,50,6%,51
8771,68948,Holbrook,NE,Nebraska,$594.7 K,2.11%,7.7%,$350.35,83,97,67,78,60,52,39,3.5%,1.88%,69,$140.56 K,5.5%,50,55,8.62%,71
8772,68950,Holstein,NE,Nebraska,$155.7 K,1.19%,-1.8%,$102.23,76,60,56,82,62,22,14,2.1%,1.65%,51,$65.04 K,5.7%,33,30,7%,27
8773,68954,Inland,NE,Nebraska,$333.3 K,0.86%,7%,$161.06,74,51,54,89,66,25,19,3.9%,5.1%,58,$79.17 K,4.2%,31,31,6%,53
8774,69146,Lemoyne,NE,Nebraska,$244.1 K,1.37%,6.4%,$136.17,84,65,62,67,61,46,33,2.2%,1.89%,78,$64.15 K,3.1%,37,49,6%,44
8775,69165,Sutherland,NE,Nebraska,$211.8 K,1.58%,2.7%,$141.27,70,54,59,85,62,22,11,1.9%,0.91%,43,$81.92 K,6.6%,30,34,7%,34
8776,69169,Wallace,NE,Nebraska,$682.1 K,1.38%,6.2%,$294.03,96,82,61,72,55,24,15,2.2%,1.91%,84,$159.53 K,3.1%,39,61,6%,70
8777,69218,Merriman,NE,Nebraska,$67.6 K,1.14%,1.6%,$52.8,41,53,59,88,57,20,12,1.6%,1.25%,60,$29.38 K,6.6%,31,33,5.5%,27
8778,70070,Luling,LA,Louisiana,$254.9 K,0.53%,-4.4%,$129.46,80,59,72,68,45,33,21,3%,0.28%,75,$83.03 K,4.2%,24,43,9.45%,76
8779,70087,Saint Rose,LA,Louisiana,,,,,,,,,,,,,,,,,,,,
8780,70113,New Orleans,LA,Louisiana,$240.5 K,0.79%,-8%,$123.64,86,61,70,77,57,62,65,4.2%,0.27%,41,$51.12 K,4.2%,29,43,9.45%,88
8781,70124,New Orleans,LA,Louisiana,$240.5 K,0.79%,-8%,$123.64,86,61,70,77,57,62,65,4.2%,0.27%,41,$51.12 K,4.2%,29,43,9.45%,88
8782,70441,Greensburg,LA,Louisiana,$230.5 K,1.44%,3.5%,$119.41,82,64,61,71,61,100,96,2.8%,0.9%,48,$58 K,3.1%,29,42,6%,46
8783,70507,Lafayette,LA,Louisiana,$224.2 K,0.58%,-2.3%,$112.82,83,90,67,72,59,73,63,3.2%,-0.32%,73,$58.85 K,4.2%,28,35,9.45%,62
8784,70576,Pine Prairie,LA,Louisiana,$155.3 K,0.28%,4.2%,-,61,48,60,79,58,23,15,3.8%,1.38%,50,$32.24 K,4.2%,34,21,10.45%,72
8785,70650,Lacassine,LA,Louisiana,$188.3 K,0.3%,-1.9%,$80.03,70,42,63,80,61,20,13,3.7%,0.38%,36,$52.47 K,4.2%,30,22,9.45%,53
8786,70783,Ventress,LA,Louisiana,$270.3 K,0.33%,7.7%,-,43,42,65,75,47,20,11,3.5%,0.85%,70,$75.5 K,4.2%,31,43,8.45%,78
8787,71103,Shreveport,LA,Louisiana,$136.2 K,0.7%,0.2%,$75.51,68,57,63,69,65,45,37,4%,-0.11%,43,$45.97 K,4.2%,31,26,9.05%,49
8788,71110,Barksdale Afb,LA,Louisiana,,,,,,,,,,,,,,,,,,,,
8789,71201,Monroe,LA,Louisiana,$546.1 K,1.98%,8.1%,$232.28,92,90,64,77,39,20,10,4.7%,0.46%,72,$107.54 K,5.5%,39,56,6.62%,100
8790,71202,Monroe,LA,Louisiana,$546.1 K,1.98%,8.1%,$232.28,92,90,64,77,39,20,10,4.7%,0.46%,72,$107.54 K,5.5%,39,56,6.62%,100
8791,71275,Simsboro,LA,Louisiana,$136.5 K,0.48%,-4.6%,$75.49,60,51,61,77,67,21,16,3.8%,-2.36%,65,$34.35 K,4.2%,29,26,9.45%,37
8792,71340,Harrisonburg,LA,Louisiana,$311.6 K,0.71%,3.2%,$187.19,85,70,62,79,67,71,63,3.4%,3.26%,72,$56.05 K,5.8%,36,40,5.3%,30
8793,71450,Marthaville,LA,Louisiana,,,,,,,,,,,,,,,,,,,,
8794,71462,Noble,LA,Louisiana,$366.5 K,0.89%,3.1%,$147.67,94,100,60,76,51,60,51,2.6%,0.33%,93,$99.46 K,3.2%,30,38,7%,52
8795,71665,Rison,AR,Arkansas,$155 K,0.53%,-2.5%,$93.2,57,25,66,74,58,21,11,3.4%,2.11%,28,$23.06 K,4.9%,33,31,10.75%,54
8796,71730,El Dorado,AR,Arkansas,$869.9 K,0.71%,0.5%,$312.18,91,78,77,61,34,58,42,4.2%,-0.43%,60,$156.13 K,9.3%,40,62,7.25%,83
8797,71758,Mount Holly,AR,Arkansas,$336.5 K,0.92%,0.7%,$164.9,64,47,69,74,59,37,28,3.3%,2.92%,77,$73.92 K,4.8%,34,38,7%,50
8798,71921,Amity,AR,Arkansas,$439.8 K,2.1%,6.7%,$189.58,76,73,61,69,49,32,24,3.1%,0.57%,71,$113.18 K,3.1%,38,53,6%,64
8799,71949,Jessieville,AR,Arkansas,,,,,,,,,,,,,,,,,,,,
8800,71965,Pencil Bluff,AR,Arkansas,,,,,,,,,,,,,,,,,,,,
8801,72007,Austin,AR,Arkansas,$559.3 K,1.59%,-8.2%,$258.25,94,97,66,67,51,71,58,2.9%,1.65%,87,$86.56 K,0%,37,39,8.25%,64
8802,72012,Beebe,AR,Arkansas,$202 K,0.43%,4.8%,$117.78,65,48,60,77,61,31,20,3.1%,0.2%,70,$55.07 K,4.9%,35,35,9.5%,45
8803,72020,Bradford,AR,Arkansas,$75.8 K,1.66%,1.9%,-,61,56,51,79,66,41,36,3.5%,1.23%,33,$47.92 K,3.1%,34,35,6%,34
8804,72113,Maumelle,AR,Arkansas,$301.6 K,0.88%,3.5%,$138.23,90,81,69,65,54,44,32,3.1%,1.54%,70,$89.88 K,4.9%,34,41,9.5%,53
8805,72212,Little Rock,AR,Arkansas,$198.5 K,0.87%,0.3%,$101.55,87,80,66,62,59,49,40,3.1%,1.54%,68,$58.7 K,4.9%,34,36,8.62%,46
8806,72223,Little Rock,AR,Arkansas,$198.5 K,0.87%,0.3%,$101.55,87,80,66,62,59,49,40,3.1%,1.54%,68,$58.7 K,4.9%,34,36,8.62%,46
8807,72341,Haynes,AR,Arkansas,$61 K,0.39%,-12.4%,-,30,45,59,71,64,22,12,4.2%,0.05%,41,$26.87 K,4.2%,29,24,9.57%,46
8808,72414,Black Oak,AR,Arkansas,$119.6 K,0.57%,2.3%,$72.71,64,54,69,78,57,20,10,2.6%,0.98%,67,$51.25 K,4.9%,35,28,7.5%,40
8809,72441,McDougal,AR,Arkansas,$71.3 K,0.54%,1.5%,$52.62,59,31,67,82,62,22,12,3.9%,2.75%,20,$44.69 K,4.9%,35,27,8%,39
8810,72473,Tuckerman,AR,Arkansas,$82.1 K,0.48%,-2.4%,$57.62,63,21,65,75,62,23,11,4.7%,0.86%,19,$47.32 K,4.9%,32,27,10%,33
8811,72553,Magness,AR,Arkansas,$130.6 K,0.55%,-0.5%,$105.98,66,52,58,75,64,31,23,2.9%,1.5%,50,$38.44 K,4.9%,34,26,8%,33
8812,72572,Saffell,AR,Arkansas,,,,,,,,,,,,,,,,,,,,
8813,72685,Western Grove,AR,Arkansas,$190.7 K,0.4%,11.3%,$132.76,51,35,66,79,59,20,10,3.4%,1.32%,24,$43.75 K,4.9%,32,28,8.5%,50
8814,72715,Bella Vista,AR,Arkansas,$311.5 K,0.7%,2.1%,$187.67,97,75,63,77,57,27,19,2.8%,2.08%,91,$83.99 K,4.9%,34,39,9.5%,54
8815,72761,Siloam Springs,AR,Arkansas,$261.5 K,0.68%,2.6%,$150.55,70,78,62,76,53,47,31,2.3%,2.08%,94,$59.91 K,4.9%,31,36,9.5%,45
8816,72852,Oark,AR,Arkansas,,,,,,,,,,,,,,,,,,,,
8817,72854,Ozone,AR,Arkansas,,,,,,,,,,,,,,,,,,,,
8818,73012,Edmond,OK,Oklahoma,$323.9 K,1%,1.4%,$139.96,90,96,66,68,57,57,43,2.6%,1.95%,77,$96.39 K,4.8%,37,43,8.62%,52
8819,73042,Gracemont,OK,Oklahoma,$97.7 K,0.58%,-3.8%,$65.63,55,32,67,76,63,21,10,3.2%,2.64%,31,$32.5 K,4.8%,38,27,10%,42
8820,73099,Yukon,OK,Oklahoma,$242.1 K,0.99%,3.9%,$131.51,82,66,67,76,50,62,49,2.9%,1.91%,92,$75.87 K,4.8%,39,40,9.85%,55
8821,73135,Oklahoma City,OK,Oklahoma,$196.7 K,1.06%,3.6%,$124.75,86,97,69,64,59,46,39,3.1%,1.95%,74,$64.25 K,4.8%,34,32,8.62%,56
8822,73430,Burneyville,OK,Oklahoma,,,,,,,,,,,,,,,,,,,,
8823,73565,Ryan,OK,Oklahoma,$270.6 K,1.66%,9.9%,$116.64,53,55,69,77,60,23,15,3.4%,0.61%,51,$75 K,3.1%,35,41,6%,47
8824,73566,Snyder,OK,Oklahoma,$113.8 K,1.64%,-3.9%,$71.61,50,53,76,76,64,36,26,3.5%,2%,55,$54.92 K,0%,39,25,8.25%,29
8825,73703,Enid,OK,Oklahoma,$126.5 K,0.91%,6.2%,$79.18,67,56,67,82,68,50,52,3.4%,2.91%,35,$60.79 K,4.8%,37,30,9.1%,31
8826,73705,Enid,OK,Oklahoma,$126.5 K,0.91%,6.2%,$79.18,67,56,67,82,68,50,52,3.4%,2.91%,35,$60.79 K,4.8%,37,30,9.1%,31
8827,73766,Pond Creek,OK,Oklahoma,$77.7 K,0.57%,-11.1%,$45.01,69,26,59,88,64,21,11,2%,4.59%,49,$65.33 K,4.8%,38,28,9.75%,35
8828,73944,Hardesty,OK,Oklahoma,$58.9 K,0.68%,-6.9%,$30.54,70,53,65,86,59,20,10,2%,3.1%,31,$80.45 K,4.8%,40,22,9.95%,32
8829,74036,Inola,OK,Oklahoma,$244.3 K,0.75%,4.9%,$138.38,53,62,63,77,54,22,13,3%,1.69%,75,$57.68 K,4.8%,34,36,9.33%,57
8830,74561,Quinton,OK,Oklahoma,$284 K,2.86%,9.7%,$161.06,48,57,66,77,42,18,10,5.3%,1.29%,53,$80 K,5.5%,43,44,6.62%,70
8831,75042,Garland,TX,Texas,$301.8 K,1.76%,0.7%,$164.48,68,100,68,67,47,60,46,3.2%,1.97%,71,$71.04 K,0%,38,40,8.25%,76
8832,75043,Garland,TX,Texas,$301.8 K,1.76%,0.7%,$164.48,68,100,68,67,47,60,46,3.2%,1.97%,71,$71.04 K,0%,38,40,8.25%,76
8833,75116,Duncanville,TX,Texas,$285.5 K,1.75%,-0.1%,$152.51,68,97,70,68,44,42,30,3.8%,1.97%,64,$66.6 K,0%,36,37,8.25%,72
8834,75460,Paris,TX,Texas,$245.5 K,1.27%,4.8%,$124.12,77,69,62,82,54,51,38,2.6%,0.37%,86,$104.5 K,3.2%,36,43,7%,49
8835,75487,Talco,TX,Texas,$157.3 K,1.27%,3.5%,$122.33,45,58,65,75,66,20,10,3.4%,2.27%,46,$25.21 K,0%,35,22,7.75%,32
8836,75488,Telephone,TX,Texas,,,,,,,,,,,,,,,,,,,,
8837,75494,Winnsboro,TX,Texas,$130.2 K,0.34%,8%,-,36,39,61,76,60,30,20,4.7%,0.05%,26,$31.82 K,4.2%,29,22,10.45%,42
8838,75496,Wolfe City,TX,Texas,$266.3 K,1.36%,0.9%,$192.39,77,50,62,78,42,23,12,3.6%,2.17%,77,$46.38 K,0%,38,30,8.25%,70
8839,75559,De Kalb,TX,Texas,$93.9 K,2.31%,5.2%,$36.71,59,74,51,86,55,19,16,4.2%,-1.17%,30,$50.56 K,5.5%,42,36,8%,47
8840,75570,New Boston,TX,Texas,$582.1 K,2.07%,7.7%,$208,88,86,54,90,50,18,10,2.2%,-0.14%,79,$137.99 K,0%,48,61,0%,57
8841,75670,Marshall,TX,Texas,$152.2 K,1.83%,2.6%,$114,48,55,55,78,62,56,46,5.4%,-0.09%,25,$65 K,5.7%,41,32,7%,27
8842,75756,Brownsboro,TX,Texas,$263.8 K,1.08%,1.7%,$161.7,60,39,69,71,58,22,12,3.4%,1.62%,72,$57.45 K,0%,34,35,8.25%,52
8843,75762,Flint,TX,Texas,$54.3 K,1.47%,0.7%,$44.76,77,57,58,74,65,46,42,7.3%,2.35%,36,$35.45 K,4.2%,38,21,6%,72
8844,75791,Whitehouse,TX,Texas,$269.5 K,1.31%,4.9%,$149.26,79,70,66,77,58,32,18,3.3%,0.98%,83,$72.9 K,0%,32,34,8.25%,46
8845,75946,Garrison,TX,Texas,$294.6 K,1.26%,4.1%,$218.33,91,83,66,67,57,64,46,1.9%,1.89%,85,$93.13 K,4.8%,42,48,6%,75
8846,75956,Kirbyville,TX,Texas,$157.6 K,1.27%,-4.6%,$91.47,55,47,63,72,59,27,14,5.6%,0.98%,36,$30.15 K,0%,35,27,8.25%,56
8847,76092,Southlake,TX,Texas,$1.26 M,1.82%,1.9%,$286.72,92,95,69,59,44,87,64,3.1%,2.02%,79,$250 K,0%,38,62,8.25%,70
8848,76105,Fort Worth,TX,Texas,$301.2 K,1.89%,-3.2%,$150.83,79,100,69,56,44,51,42,3.5%,2.02%,86,$72.73 K,0%,36,40,8.25%,70
8849,76270,Sunset,TX,Texas,$603 K,0.82%,7.7%,$234.96,83,96,79,70,41,49,33,1.4%,0.72%,70,$108.33 K,0%,36,58,7%,93
8850,76272,Valley View,TX,Texas,$214.2 K,2.06%,6.1%,$92.33,79,81,63,64,57,57,47,2.6%,0.93%,76,$80.18 K,3.1%,39,53,6%,54
8851,76446,Dublin,TX,Texas,$1.24 M,0.76%,4.1%,$592.59,96,100,78,70,49,99,72,4.3%,-0.76%,71,$191.04 K,9.3%,39,65,10.25%,83
8852,76475,Strawn,TX,Texas,$129.2 K,1.36%,-1.6%,$60.55,41,50,70,77,61,23,12,3.3%,1.86%,72,$46.78 K,0%,35,31,8.25%,38
8853,76508,Temple,TX,Texas,$244.8 K,1.72%,-4.9%,$134.72,70,64,68,77,61,53,41,3.4%,1.28%,82,$61 K,0%,37,30,8.25%,37
8854,76627,Blum,TX,Texas,$254.9 K,1.32%,6.2%,$123.18,57,60,57,84,55,30,31,4.1%,2.41%,35,$82.88 K,4.2%,38,27,6%,60
8855,76682,Riesel,TX,Texas,$197.6 K,1.4%,-2.2%,$122.9,67,61,69,78,64,20,10,3.1%,1.74%,66,$106.22 K,0%,33,30,8%,38
8856,76687,Thornton,TX,Texas,$113.5 K,2.02%,4.6%,$50.8,65,96,62,56,46,45,36,4.6%,-0.49%,55,$78.3 K,5%,32,28,10.25%,94
8857,76862,Millersview,TX,Texas,,,,,,,,,,,,,,,,,,,,
8858,76874,Roosevelt,TX,Texas,$507.9 K,1.58%,4.5%,$364.88,61,100,68,76,47,35,22,3.2%,1.84%,80,$128.06 K,5.5%,54,58,8.62%,100
8859,76949,Silver,TX,Texas,$530.4 K,0.84%,2.5%,$300.48,96,100,67,65,65,72,58,1.5%,1.99%,80,$95.21 K,4.8%,40,73,6%,93
8860,77002,Houston,TX,Texas,$256.7 K,1.6%,-0.2%,$119.9,100,100,64,54,50,62,50,4.2%,1.72%,71,$60.44 K,0%,32,41,8.25%,74
8861,77010,Houston,TX,Texas,$256.7 K,1.6%,-0.2%,$119.9,100,100,64,54,50,62,50,4.2%,1.72%,71,$60.44 K,0%,32,41,8.25%,74
8862,77061,Houston,TX,Texas,$256.7 K,1.6%,-0.2%,$119.9,100,100,64,54,50,62,50,4.2%,1.72%,71,$60.44 K,0%,32,41,8.25%,74
8863,77071,Houston,TX,Texas,$256.7 K,1.6%,-0.2%,$119.9,100,100,64,54,50,62,50,4.2%,1.72%,71,$60.44 K,0%,32,41,8.25%,74
8864,77073,Houston,TX,Texas,$256.7 K,1.6%,-0.2%,$119.9,100,100,64,54,50,62,50,4.2%,1.72%,71,$60.44 K,0%,32,41,8.25%,74
8865,77328,Cleveland,TX,Texas,$103.5 K,1.88%,2.4%,$77.92,88,93,70,60,68,55,54,3.6%,2.45%,42,$37.27 K,3.2%,34,29,8%,52
8866,77338,Humble,TX,Texas,$262.7 K,1.77%,-1.2%,$111.39,52,96,64,52,43,77,66,3.8%,1.72%,64,$58.58 K,0%,34,38,8.25%,73
8867,77442,Garwood,TX,Texas,$554.8 K,2.18%,8.5%,$327.77,87,82,63,63,45,22,10,4.6%,0.78%,68,$107.82 K,5.5%,47,59,6.62%,92
8868,77467,Pierce,TX,Texas,$249.6 K,1.31%,4.7%,$126.19,81,51,61,76,53,41,33,2.8%,2.33%,59,$79.57 K,3.2%,37,41,6.75%,57
8869,77483,Wadsworth,TX,Texas,$290 K,1.24%,4.3%,$159.89,85,72,60,83,59,52,37,2.3%,2.15%,73,$72.33 K,3.2%,31,42,6.75%,45
8870,77511,Alvin,TX,Texas,$262.5 K,1.74%,1.6%,$138.21,61,74,73,80,42,61,55,4.2%,1.79%,84,$68.27 K,0%,34,38,8.25%,75
8871,77520,Baytown,TX,Texas,$249.1 K,1.8%,-1%,$133.6,56,95,68,55,45,62,50,7.5%,1.72%,72,$61.16 K,0%,32,34,8.25%,43
8872,77534,Danbury,TX,Texas,$431.2 K,1.6%,9.9%,$247.53,84,99,61,65,44,21,10,3.1%,-0.63%,70,$79.98 K,5.5%,46,49,6.35%,65
8873,77578,Manvel,TX,Texas,$394.8 K,1.76%,-0.6%,$143.24,78,68,70,79,40,27,20,3.9%,1.79%,90,$105.19 K,0%,31,45,8.25%,73
8874,77632,Orange,TX,Texas,$913.7 K,0.67%,6.4%,$461.18,86,95,89,59,38,74,55,3.9%,-0.79%,66,$109.34 K,9.3%,34,53,7.75%,71
8875,77802,Bryan,TX,Texas,$252.6 K,1.66%,4%,$136.04,78,79,67,76,66,48,43,2.6%,0.05%,89,$55.23 K,0%,34,32,8.25%,35
8876,77856,Franklin,TX,Texas,$868.9 K,0.48%,1.4%,$307.44,98,76,66,79,47,92,73,2.5%,2.27%,93,$106.59 K,0%,34,56,9.75%,60
8877,78010,Center Point,TX,Texas,$148.3 K,0.66%,-3.8%,$98.81,56,73,68,56,60,46,31,2.4%,1.42%,45,$49.89 K,5%,38,28,10%,54
8878,78161,Sutherland Springs,TX,Texas,,,,,,,,,,,,,,,,,,,,
8879,78216,San Antonio,TX,Texas,$257.8 K,1.88%,-2.8%,$134.35,88,100,70,64,55,60,52,3.2%,1.71%,87,$59.59 K,0%,33,29,8.25%,58
8880,78336,Aransas Pass,TX,Texas,$209 K,1.59%,-2.2%,$129.67,36,47,78,82,57,37,27,4.3%,1.94%,69,$59.4 K,0%,33,33,8.25%,46
8881,78536,Delmita,TX,Texas,$94.3 K,1.17%,-6.2%,$23.57,47,53,66,81,60,17,10,8%,3.36%,55,$35.98 K,0%,31,15,6.25%,41
8882,78596,Weslaco,TX,Texas,$171.1 K,2.05%,9.8%,$99.53,48,86,66,76,62,56,42,5.9%,1.83%,84,$53.52 K,0%,30,25,8.25%,51
8883,78617,Del Valle,TX,Texas,,,,,,,,,,,,,,,,,,,,
8884,78622,Fentress,TX,Texas,,,,,,,,,,,,,,,,,,,,
8885,78626,Georgetown,TX,Texas,$414.1 K,1.64%,-7.9%,$183.16,90,92,68,69,47,49,37,3.7%,1.67%,92,$87.47 K,0%,35,34,8.25%,68
8886,78635,Hye,TX,Texas,,,,,,,,,,,,,,,,,,,,
8887,78657,Horseshoe Bay,TX,Texas,$731.2 K,0.95%,-3.3%,$247.71,86,54,70,81,59,24,14,3.3%,3.15%,83,$85.2 K,0%,36,36,8.25%,39
8888,78723,Austin,TX,Texas,$559.3 K,1.59%,-8.2%,$258.25,94,97,66,67,51,71,58,2.9%,1.65%,87,$86.56 K,0%,37,39,8.25%,64
8889,78729,Austin,TX,Texas,$559.3 K,1.59%,-8.2%,$258.25,94,97,66,67,51,71,58,2.9%,1.65%,87,$86.56 K,0%,37,39,8.25%,64
8890,78730,Austin,TX,Texas,$559.3 K,1.59%,-8.2%,$258.25,94,97,66,67,51,71,58,2.9%,1.65%,87,$86.56 K,0%,37,39,8.25%,64
8891,78734,Austin,TX,Texas,$559.3 K,1.59%,-8.2%,$258.25,94,97,66,67,51,71,58,2.9%,1.65%,87,$86.56 K,0%,37,39,8.25%,64
8892,78940,Fayetteville,TX,Texas,$201.4 K,1.16%,7.4%,$122.96,68,50,68,81,63,58,46,5.1%,0.96%,57,$53.42 K,4.8%,35,34,7%,38
8893,78943,Glidden,TX,Texas,$136.8 K,1.09%,-2.4%,$85.2,66,67,53,84,66,22,13,2.3%,1.23%,45,$67.36 K,5.7%,38,35,7%,25
8894,78951,Oakland,TX,Texas,$785.4 K,0.83%,-4%,$507.86,91,100,82,57,64,74,60,5%,-0.76%,65,$94.39 K,9.3%,30,64,10.25%,79
8895,79097,White Deer,TX,Texas,$242.8 K,1.1%,3.8%,$104.66,78,69,59,79,60,23,17,2.5%,-0.4%,70,$71.68 K,3.1%,38,48,6%,40
8896,79101,Amarillo,TX,Texas,$195.9 K,1.63%,2.3%,$128.84,62,58,70,81,66,51,41,2.5%,0.82%,61,$60.63 K,0%,32,30,8.25%,37
8897,79106,Amarillo,TX,Texas,$195.9 K,1.63%,2.3%,$128.84,62,58,70,81,66,51,41,2.5%,0.82%,61,$60.63 K,0%,32,30,8.25%,37
8898,79111,Amarillo,TX,Texas,$195.9 K,1.63%,2.3%,$128.84,62,58,70,81,66,51,41,2.5%,0.82%,61,$60.63 K,0%,32,30,8.25%,37
8899,79244,Matador,TX,Texas,$45.5 K,1.06%,-15.3%,-,50,37,74,84,67,19,10,3%,11.35%,26,$70.13 K,0%,41,21,8.25%,29
8900,79250,Petersburg,TX,Texas,$232.2 K,1%,-1.7%,$178.62,41,32,66,78,69,49,57,5.4%,4.27%,50,$46.93 K,5.8%,38,33,6%,36
8901,79313,Anton,TX,Texas,$121.9 K,1.57%,12.5%,$72.23,42,55,71,84,64,21,10,3.1%,1.17%,57,$47.64 K,0%,32,21,8.25%,43
8902,79331,Lamesa,TX,Texas,$76.9 K,1.53%,-14.9%,$19.2,44,47,74,78,63,31,21,3.6%,2.18%,51,$39.43 K,0%,35,23,8.25%,31
8903,79339,Littlefield,TX,Texas,$87.6 K,1.23%,-5.2%,$41.2,41,47,73,82,58,27,18,3.4%,5.34%,19,$48.96 K,0%,33,18,8.25%,30
8904,79517,Fluvanna,TX,Texas,,,,,,,,,,,,,,,,,,,,
8905,79553,Stamford,TX,Texas,$650.1 K,1.54%,10%,$244.35,94,90,60,59,56,21,10,3.5%,-0.63%,69,$100.72 K,5.5%,48,57,6.35%,73
8906,79602,Abilene,TX,Texas,$188.6 K,1.6%,2.5%,$107.55,62,56,75,74,62,49,40,2.9%,1.18%,67,$59.25 K,0%,41,27,8.25%,33
8907,79605,Abilene,TX,Texas,$188.6 K,1.6%,2.5%,$107.55,62,56,75,74,62,49,40,2.9%,1.18%,67,$59.25 K,0%,41,27,8.25%,33
8908,79778,Rankin,TX,Texas,$95.2 K,1.68%,4.3%,$41.04,65,95,65,51,79,27,20,2.8%,0.91%,43,$29.11 K,3.1%,36,30,7%,67
8909,79781,Sheffield,TX,Texas,$114.3 K,0.43%,9.5%,$65.72,46,51,64,75,59,35,22,2.9%,-0.37%,59,$39.67 K,5%,34,28,9.5%,41
8910,79855,Van Horn,TX,Texas,$116.1 K,0.93%,-10.1%,$43.86,55,38,76,78,54,24,13,2.8%,9.09%,36,$37.39 K,0%,38,23,8%,26
8911,79901,El Paso,TX,Texas,$216.7 K,2.17%,6%,$115.75,63,100,78,63,57,74,63,3.8%,0.86%,73,$55.71 K,0%,35,28,8.25%,52
8912,80131,Louviers,CO,Colorado,$511.2 K,0.55%,1.3%,$288.92,80,85,60,77,38,21,13,3%,0.19%,75,$79.44 K,4.4%,30,40,4%,74
8913,80133,Palmer Lake,CO,Colorado,$538.6 K,0.4%,-0.1%,$360.94,88,73,54,80,49,28,25,3.3%,1.49%,73,$104.71 K,4.4%,33,44,8.63%,52
8914,80623,Gilcrest,CO,Colorado,$267.2 K,0.48%,-2.1%,$222.09,47,67,61,66,52,22,15,3.3%,0.7%,78,$64.58 K,4.4%,35,39,6.9%,55
